BIBLIOGRAFÍA	AUTOR	TÍTULO	FECHA	CRITERIO	BLOQUE	MEDIO	SOPORTE	TEMA	PAÍS	ZONA	TIPOLOGÍA	NOTAS	CONCORDANCIA

Arrabal, Fernando: El Arquitecto y el Emperador de Asiria. Madrid: Cátedra, 1993.	Arrabal, Fernando	El Arquitecto y el Emperador de Asiria	1975	Primera edición	Ficción	Escrito	Libro	Teatro	España				Emperador.— ¿Qué dije?
Arrabal, Fernando: El Arquitecto y el Emperador de Asiria. Madrid: Cátedra, 1993.	Arrabal, Fernando	El Arquitecto y el Emperador de Asiria	1975	Primera edición	Ficción	Escrito	Libro	Teatro	España				Arquitecto.— Dijiste que tu mamá te cogía en brazos, y dijiste que te arrullaba, y dijiste que te besaba en la frente; y dijiste...
Arrabal, Fernando: El Arquitecto y el Emperador de Asiria. Madrid: Cátedra, 1993.	Arrabal, Fernando	El Arquitecto y el Emperador de Asiria	1975	Primera edición	Ficción	Escrito	Libro	Teatro	España				Arquitecto.— Dijiste que tu mamá te cogía en brazos, y dijiste que te arrullaba, y dijiste que te besaba en la frente; y dijiste...
Arrabal, Fernando: El Arquitecto y el Emperador de Asiria. Madrid: Cátedra, 1993.	Arrabal, Fernando	El Arquitecto y el Emperador de Asiria	1975	Primera edición	Ficción	Escrito	Libro	Teatro	España				Arquitecto.— Dijiste que tu mamá te cogía en brazos, y dijiste que te arrullaba, y dijiste que te besaba en la frente; y dijiste...
Arrabal, Fernando: El Arquitecto y el Emperador de Asiria. Madrid: Cátedra, 1993.	Arrabal, Fernando	El Arquitecto y el Emperador de Asiria	1975	Primera edición	Ficción	Escrito	Libro	Teatro	España				Arquitecto.— Dijiste que tu mamá te cogía en brazos, y dijiste que te arrullaba, y dijiste que te besaba en la frente; y dijiste...
Arrabal, Fernando: El Arquitecto y el Emperador de Asiria. Madrid: Cátedra, 1993.	Arrabal, Fernando	El Arquitecto y el Emperador de Asiria	1975	Primera edición	Ficción	Escrito	Libro	Teatro	España				(El Emperador vive las palabras. Se acurruca en la silla como si una persona invisible le arrullara y le besara.)Y dijiste que, a veces, te pegaba con un látigo... y dijiste que te llevaba de la mano por la calle... y dijiste...
Arrabal, Fernando: El Arquitecto y el Emperador de Asiria. Madrid: Cátedra, 1993.	Arrabal, Fernando	El Arquitecto y el Emperador de Asiria	1975	Primera edición	Ficción	Escrito	Libro	Teatro	España				(El Emperador vive las palabras. Se acurruca en la silla como si una persona invisible le arrullara y le besara.)Y dijiste que, a veces, te pegaba con un látigo... y dijiste que te llevaba de la mano por la calle... y dijiste...
Arrabal, Fernando: El Arquitecto y el Emperador de Asiria. Madrid: Cátedra, 1993.	Arrabal, Fernando	El Arquitecto y el Emperador de Asiria	1975	Primera edición	Ficción	Escrito	Libro	Teatro	España				(El Emperador vive las palabras. Se acurruca en la silla como si una persona invisible le arrullara y le besara.)Y dijiste que, a veces, te pegaba con un látigo... y dijiste que te llevaba de la mano por la calle... y dijiste...
Arrabal, Fernando: El Arquitecto y el Emperador de Asiria. Madrid: Cátedra, 1993.	Arrabal, Fernando	El Arquitecto y el Emperador de Asiria	1975	Primera edición	Ficción	Escrito	Libro	Teatro	España				Arquitecto.— Sí. Dijiste que era una de las ciudades de tu imperio.
Arrabal, Fernando: El Arquitecto y el Emperador de Asiria. Madrid: Cátedra, 1993.	Arrabal, Fernando	El Arquitecto y el Emperador de Asiria	1975	Primera edición	Ficción	Escrito	Libro	Teatro	España				Arquitecto.— El otro día te enfadaste porque te iba a incinerar; dijiste que te ibas a despertar con el culo medio quemado y dando saltos y gritando ¡viva la República!
